Circulation,,
Total Circulation Transactions,"1,798,063","938,151"
#NAME?,"1,145,458","781,633"
#NAME?,"652,605","156,518"
Circulation of Children's Material,"568,106","367,300"
- As Percentage of Total Circulation (%),32,39
