Circulation,,
Total Circulation Transactions,"1,798,063","2,858,768"
#NAME?,"1,145,458","1,507,772"
#NAME?,"652,605","1,350,996"
Circulation of Children's Material,"568,106","481,312"
- As Percentage of Total Circulation (%),32,17
